seed,weight_factor,floor_mean,floor_std,wt_mech,wt_lin
108,0.675,0.005467236042022705,0.001711800873406163,0.013056328892707825,0.0139993816614151
109,0.8,0.010390782356262207,0.005637964618137263,0.011137092113494873,0.015230396389961242
110,0.3,0.0071024298667907715,0.003511508250300812,0.015022602677345277,0.010423913598060608
111,0.425,0.004711318016052246,0.0017259509105562087,0.011896347999572754,0.012130004167556763
112,0.55,0.008536887168884278,0.0026989983710286733,0.012630271911621093,0.012821373343467713
113,0.675,0.006549978256225586,0.00203546188818435,0.010244244337081909,0.012808391451835632
114,0.8,0.008146464824676514,0.0027057305333607665,0.01127820611000061,0.012258648872375488
115,0.3,0.008815479278564454,0.0036620933217575958,0.010696339607238769,0.013267898559570312
116,0.425,0.007537853717803955,0.002706266601745018,0.013443079590797425,0.011162289977073669
117,0.55,0.008258688449859618,0.003294533649411844,0.010301199555397034,0.012216085195541381
118,0.675,0.008151102066040038,0.0038432026036357087,0.01154291331768036,0.013658779859542846
119,0.8,0.007877635955810546,0.002752028446182215,0.01123572289943695,0.012719073891639709
120,0.3,0.006682705879211426,0.0027028625239930403,0.012853515148162842,0.011817601323127747
121,0.425,0.006607925891876221,0.002516293495114401,0.012892940640449524,0.012416252493858337
122,0.55,0.0077116966247558595,0.003316255732729204,0.013089963793754577,0.010770231485366821
123,0.675,0.00754539966583252,0.0028453410386923305,0.01252906322479248,0.011954781413078309
124,0.8,0.006551933288574219,0.002416663472953505,0.010301485657691956,0.011126187443733216
125,0.3,0.01019289493560791,0.004401363445705496,0.01125393807888031,0.01237870454788208
126,0.425,0.006218278408050537,0.001630135302664286,0.011045214533805848,0.013885542750358582
127,0.55,0.007934558391571044,0.002844236220373293,0.012696877121925354,0.012480261921882629
128,0.675,0.006215226650238037,0.0016612196164850382,0.011477941274642944,0.011410936713218689
129,0.8,0.009048962593078613,0.0046186733700949115,0.011412820219993592,0.01345495879650116
130,0.3,0.01004335880279541,0.010029516191058725,0.014686900377273559,0.014771544933319091
131,0.425,0.011034905910491943,0.006365306671355351,0.011412975192070008,0.01132737398147583
132,0.55,0.005767405033111572,0.0023893179952235613,0.012778621912002564,0.014880242943763732
133,0.675,0.007813608646392823,0.003993533397388685,0.012459909915924073,0.013319513201713562
134,0.8,0.006942462921142578,0.0020313632598220003,0.011830085515975952,0.012873488664627075
135,0.3,0.008209550380706787,0.0035404133200034123,0.012692722678184509,0.01160886585712433
136,0.425,0.005841386318206787,0.001856894712715669,0.012245038151741027,0.012669786810874939
137,0.55,0.008951175212860107,0.00459823318517048,0.012600237131118774,0.011400598287582397
138,0.675,0.0076484203338623045,0.004008189356886319,0.01639746129512787,0.013217177987098695
139,0.8,0.012282633781433105,0.010407974311932142,0.01145031750202179,0.01376434564590454
140,0.3,0.008088839054107667,0.00319980088754214,0.01093798279762268,0.015755659341812132
141,0.425,0.008407843112945557,0.003869964259013081,0.013415321707725525,0.018189921975135803
142,0.55,0.00920182466506958,0.004629406546734425,0.014703646302223206,0.010736861824989319
143,0.675,0.008146286010742188,0.0033400597285640475,0.011602890491485596,0.013417324423789978
144,0.8,0.007791006565093994,0.003042208517791041,0.01244889795780182,0.01432572901248932
145,0.3,0.009568965435028077,0.00499345874873714,0.012800520658493042,0.011510881781578063
146,0.425,0.010250282287597657,0.006123680762251967,0.010363376140594483,0.012895441055297852
147,0.55,0.006769704818725586,0.0027290789582323626,0.011386820673942566,0.012889435887336731
148,0.675,0.008727633953094482,0.005329608484760003,0.013501286506652832,0.010555481910705567
149,0.8,0.010181581974029541,0.009409462274052423,0.010767388343811034,0.013534614443778991
150,0.3,0.00616222620010376,0.0024297064876414158,0.013065680861473083,0.015329024195671082
151,0.425,0.007689166069030762,0.0038050728294986465,0.01490236520767212,0.01505584716796875
