study,mechanism,param,factor,cells,noise,rep,floor_mean,floor_std,wt_mech,wt_lin,loss_K,loss_n,loss_vmax,wt_distance
calib,threshold,K,3.0,2000,1,16,0.013741350173950196,0.011800219600981354,0.012237617373466491,0.03409588634967804,0.02587558627128601,0.8632622554898262,0.038491225242614745,1.1734594106674194
calib,threshold,K,3.0,2000,1,17,0.007610988616943359,0.0022347258977857285,0.011294972896575928,0.0327578455209732,0.02294284850358963,0.6965603962540626,0.034523767232894895,1.0778220891952515
calib,threshold,K,3.0,2000,1,18,0.00952742099761963,0.006007003833623116,0.01667419373989105,0.03285965621471405,0.026333609223365785,0.6102214127779007,0.03826759904623032,0.8011668920516968
calib,threshold,K,3.0,2000,1,19,0.01097252368927002,0.00497739160887176,0.015461915731430053,0.024598342180252076,0.027361203730106354,0.661863648891449,0.03446868360042572,1.0997525453567505
calib,threshold,K,3.0,2000,1,20,0.008496344089508057,0.002976743211816615,0.01774645149707794,0.0320318341255188,0.026746603846549987,0.5299752533435822,0.03259468823671341,1.131110429763794
calib,threshold,K,3.0,2000,1,21,0.010960125923156738,0.004037630726162923,0.016174045205116273,0.0357959657907486,0.02583811730146408,0.6898670136928559,0.036160987615585324,0.6774023771286011
calib,threshold,K,3.0,2000,1,22,0.009595143795013427,0.005433929442071626,0.01622022092342377,0.03315763771533966,0.027022811770439147,0.8025600194931031,0.041834019124507904,1.073779821395874
calib,threshold,K,3.0,2000,1,23,0.008199048042297364,0.005818336133483444,0.014693072438240052,0.02848975658416748,0.02281409949064255,0.7142084538936615,0.03464975506067276,1.072129249572754
calib,threshold,K,3.0,2000,1,24,0.007857656478881836,0.0029919297150083984,0.014537107944488526,0.0341253012418747,0.02384055107831955,0.677519379556179,0.03221336752176285,0.9253127574920654
calib,threshold,K,3.0,2000,1,25,0.012473809719085693,0.01051964770839766,0.014187368750572204,0.034153467416763304,0.022796466946601868,0.8127783194184304,0.030126404762268067,0.9812314510345459
calib,threshold,K,3.0,2000,1,26,0.008194613456726074,0.0033280373987749933,0.014202961325645446,0.02977912127971649,0.02455223202705383,0.8665056169033051,0.032350683212280275,1.12267005443573
calib,threshold,K,3.0,2000,1,27,0.011508011817932129,0.010035278032234345,0.014330217242240905,0.03141745626926422,0.02520405054092407,0.7703671962022781,0.035782864689826964,0.9241684675216675
calib,threshold,K,3.0,2000,1,28,0.011392927169799805,0.00506569944035919,0.017131677269935607,0.02995566129684448,0.027234196662902832,0.7690118312835693,0.03466349095106125,0.8809877634048462
calib,threshold,K,3.0,2000,1,29,0.010384106636047363,0.004824529367199839,0.014783698320388793,0.029274407029151916,0.024747531116008758,0.8896911963820457,0.035000266134738924,1.0196268558502197
calib,threshold,K,3.0,2000,1,30,0.010857868194580077,0.008680966399834204,0.014543282985687255,0.030315327644348144,0.024955449998378752,0.739025017619133,0.03395213037729263,0.9428893327713013
calib,threshold,K,3.0,2000,1,31,0.013515615463256836,0.01114224032391297,0.017152488231658936,0.0328670471906662,0.024277748167514802,0.65959642380476,0.035103894770145416,0.888901948928833
calib,threshold,K,3.0,2000,1,32,0.012032711505889892,0.012577340524972863,0.013437387347221375,0.03142596185207367,0.022216476500034332,0.80465949177742,0.032935474812984464,0.8324669599533081
calib,threshold,K,3.0,2000,1,33,0.008703899383544923,0.0039860060980267805,0.012967628240585328,0.03470350205898285,0.023657947778701782,0.703232441842556,0.037119272351264956,0.9013715982437134
calib,threshold,K,3.0,2000,1,34,0.00901564359664917,0.0035844546622042462,0.0164004385471344,0.029405158758163453,0.022037670016288757,0.835422345995903,0.0320871114730835,0.9466701745986938
calib,threshold,K,3.0,2000,1,35,0.01132451295852661,0.004100388818040371,0.012935566902160644,0.029779258370399474,0.029912132024765014,0.8148126199841499,0.039171242713928224,1.0457347631454468
calib,threshold,K,3.0,2000,1,36,0.009680092334747314,0.0046736584858038015,0.013889265060424805,0.03264548182487488,0.02156706601381302,0.8086857721209526,0.03143104016780853,1.012097716331482
calib,threshold,K,3.0,2000,1,37,0.008520591259002685,0.0033141908293879943,0.015355604887008666,0.03351777195930481,0.022221501171588897,0.7729923412203789,0.033999708294868466,0.9263929128646851
calib,threshold,K,3.0,2000,1,38,0.010106813907623292,0.006598654607502611,0.01438908874988556,0.02765677571296692,0.025748847424983977,0.5419400170445442,0.034615162014961245,0.9640300273895264
calib,threshold,K,3.0,2000,1,39,0.009002363681793213,0.00700763597219863,0.01498706042766571,0.029673701524734496,0.030506636202335357,0.8344145566225052,0.040208841860294345,0.9048877954483032
calib,gain,n,0.2,2000,1,0,0.01059800386428833,0.006387437889180242,0.012797275185585022,0.030363759398460387,0.04586896002292633,0.012334442138671875,0.04618402123451233,0.03752851486206055
calib,gain,n,0.2,2000,1,1,0.009471547603607178,0.004734103882636611,0.012714290618896484,0.03334011137485504,0.0382127970457077,0.010692065954208374,0.04407472908496857,0.07831752300262451
calib,gain,n,0.2,2000,1,2,0.008480143547058106,0.003533038298299618,0.01448642611503601,0.035188525915145874,0.032989314198493956,0.022832262516021728,0.06752478182315827,0.030370473861694336
calib,gain,n,0.2,2000,1,3,0.010465550422668456,0.0047400602754575855,0.015248367190361023,0.033013913035392764,0.05105388760566711,0.011344841122627259,0.04519771635532379,0.09207499027252197
calib,gain,n,0.2,2000,1,4,0.00784921646118164,0.0033658315243105846,0.012353157997131348,0.030455222725868224,0.03871048390865326,0.011311790347099305,0.03797448873519897,0.04728579521179199
calib,gain,n,0.2,2000,1,5,0.009301972389221192,0.003642734916550527,0.012938401103019715,0.030180808901786805,0.0416481226682663,0.015417721867561341,0.054876744747161865,0.10476267337799072
calib,gain,n,0.2,2000,1,6,0.007861530780792237,0.0028183439592796883,0.01261407434940338,0.030700421333312987,0.034820657968521115,0.011206114292144775,0.04101444184780121,0.042244553565979004
calib,gain,n,0.2,2000,1,7,0.00828036069869995,0.0036409337960321185,0.01527756154537201,0.030397525429725646,0.03078277111053467,0.027399170398712158,0.06418261528015137,0.08170700073242188
calib,gain,n,0.2,2000,1,8,0.013628816604614258,0.014009783031987634,0.016440826654434203,0.03196901082992554,0.03919720649719238,0.011113926768302917,0.03698649704456329,0.07773518562316895
calib,gain,n,0.2,2000,1,9,0.00887221097946167,0.004456976512716145,0.011563685536384583,0.02735416293144226,0.03593398332595825,0.011736252903938293,0.04166054129600525,0.03024435043334961
calib,gain,n,0.2,2000,1,10,0.007692563533782959,0.004148098426419637,0.01472073495388031,0.03286454975605011,0.040692657232284546,0.01077108085155487,0.04612989127635956,0.07137703895568848
calib,gain,n,0.2,2000,1,11,0.008465325832366944,0.0032457749994403247,0.014901506900787353,0.0392481654882431,0.046538567543029784,0.01098071038722992,0.05115252137184143,0.07360398769378662
calib,gain,n,0.2,2000,1,12,0.008074533939361573,0.0035716998600232395,0.015018802881240845,0.03646001219749451,0.03974844813346863,0.015494531393051148,0.07691729962825775,0.07657253742218018
calib,gain,n,0.2,2000,1,13,0.010709249973297119,0.009211254210935096,0.01394534409046173,0.0284585177898407,0.02594936788082123,0.01437297761440277,0.03764680325984955,0.06882810592651367
calib,gain,n,0.2,2000,1,14,0.013501989841461181,0.010409912917108763,0.015539988875389099,0.03970823585987091,0.04147695302963257,0.012427517771720886,0.06399671733379364,0.06434810161590576
